key,filename,total_dur,silence_count,silence_index,silence_start,silence_end,silence_dur
g4202,g4202.mp3,7.10525,3,1,3.051429,3.585238,0.53381
g4202,g4202.mp3,7.10525,3,2,4.323016,5.349365,1.026349
g4203,g4203.mp3,7.131375,3,0,0.0,1.05229,1.05229
g4203,g4203.mp3,7.131375,3,1,3.066485,3.615828,0.549342
g4203,g4203.mp3,7.131375,3,2,4.336236,5.36585,1.029615
g4204,g4204.mp3,6.765625,3,0,0.0,1.037279,1.037279
g4204,g4204.mp3,6.765625,3,1,3.028027,3.549615,0.521587
g4204,g4204.mp3,6.765625,3,2,4.145556,5.163129,1.017574
g4205,g4205.mp3,7.079125,3,0,0.0,1.036122,1.036122
g4205,g4205.mp3,7.079125,3,1,3.023197,3.546735,0.523537
g4205,g4205.mp3,7.079125,3,2,4.284172,5.303968,1.019796
g4206,g4206.mp3,6.5305,3,0,0.0,1.033537,1.033537
g4206,g4206.mp3,6.5305,3,1,3.086803,3.593673,0.506871
g4206,g4206.mp3,6.5305,3,2,4.035397,5.051429,1.016032
g4207,g4207.mp3,6.68725,3,0,0.0,1.031542,1.031542
g4207,g4207.mp3,6.68725,3,1,2.857596,3.406667,0.54907
g4207,g4207.mp3,6.68725,3,2,4.000748,5.031814,1.031066
g4208,g4208.mp3,12.094625,6,0,0.0,1.050408,1.050408
g4208,g4208.mp3,12.094625,6,1,2.800635,3.310363,0.509728
g4208,g4208.mp3,12.094625,6,2,4.142971,5.187007,1.044036
g4208,g4208.mp3,12.094625,6,3,6.048798,7.084354,1.035556
g4208,g4208.mp3,12.094625,6,4,8.141655,9.16941,1.027755
g4208,g4208.mp3,12.094625,6,5,9.606621,10.670023,1.063401
g4209,g4209.mp3,7.131375,3,0,0.0,1.026145,1.026145
g4209,g4209.mp3,7.131375,3,1,2.982132,3.508503,0.526372
g4209,g4209.mp3,7.131375,3,2,4.28229,5.306236,1.023946
g4210,g4210.mp3,7.653875,3,0,0.0,1.052313,1.052313
g4210,g4210.mp3,7.653875,3,1,2.908549,3.457324,0.548776
g4210,g4210.mp3,7.653875,3,2,4.504263,5.570045,1.065782
g4211,g4211.mp3,8.38525,3,0,0.0,1.032426,1.032426
g4211,g4211.mp3,8.38525,3,1,3.116825,3.663333,0.546508
g4211,g4211.mp3,8.38525,3,2,4.970862,6.007347,1.036485
g4212,g4212.mp3,7.10525,3,0,0.0,1.044059,1.044059
g4212,g4212.mp3,7.10525,3,1,2.959184,3.489637,0.530454
g4212,g4212.mp3,7.10525,3,2,4.287007,5.298503,1.011497
g4213,g4213.mp3,7.026875,3,0,0.0,1.029977,1.029977
g4213,g4213.mp3,7.026875,3,1,3.208526,3.741451,0.532925
g4213,g4213.mp3,7.026875,3,2,4.340862,5.362336,1.021474
g4214,g4214.mp3,7.10525,3,0,0.0,1.032358,1.032358
g4214,g4214.mp3,7.10525,3,1,3.290204,3.809683,0.519478
